documento;antiguedad;puntuacion
10000001;18;3.4
10000002;53;4.5
10000003;28;3.6
10000004;29;3.4
10000005;36;3.2
10000006;17;4.3
10000007;11;4.0
10000008;58;4.8
10000009;56;4.6
10000010;50;3.0
10000011;49;4.3
10000012;53;4.0
10000013;20;3.4
10000014;14;3.5
10000015;13;4.1
10000016;59;4.1
10000017;30;4.3
10000018;12;3.2
10000019;19;3.1
10000020;35;4.9
10000021;46;3.2
10000022;52;3.9
10000023;20;3.6
10000024;56;4.2
10000025;7;3.9
10000026;53;4.2
10000027;51;4.5
10000028;12;4.3
10000029;39;4.9
10000030;14;3.2
10000031;25;4.6
10000032;11;4.2
10000033;40;4.5
10000034;57;4.4
10000035;12;4.1
10000036;37;4.7
10000037;40;3.2
10000038;52;3.9
10000039;17;4.5
10000040;23;4.5
10000041;41;4.2
10000042;41;4.8
10000043;17;3.1
10000044;20;3.8
10000045;37;4.3
10000046;48;4.5
10000047;26;4.7
10000048;16;3.1
10000049;27;4.0
10000050;33;3.6
