documento;antiguedad;puntuacion
20000001;26;3.1
20000002;29;4.3
20000003;39;3.5
20000004;31;4.4
20000005;39;3.1
20000006;31;4.2
20000007;8;4.0
20000008;6;4.5
20000009;44;4.8
20000010;40;4.8
20000011;4;3.7
20000012;23;4.9
20000013;8;4.0
20000014;38;4.3
20000015;10;4.4
20000016;37;3.4
20000017;8;4.4
20000018;12;3.8
20000019;4;4.8
20000020;40;4.0
20000021;10;3.7
20000022;26;4.7
20000023;38;3.7
20000024;6;3.6
20000025;43;3.2
20000026;18;4.6
20000027;36;4.1
20000028;21;3.8
20000029;14;4.3
20000030;42;3.4
20000031;31;3.4
20000032;21;3.4
20000033;4;4.9
20000034;21;3.7
20000035;43;4.4
20000036;20;3.8
20000037;30;4.0
20000038;32;3.8
20000039;44;4.8
20000040;6;3.6
20000041;9;4.6
20000042;30;3.9
20000043;12;3.7
20000044;11;3.2
20000045;36;3.4
20000046;42;4.1
20000047;30;4.3
20000048;26;4.6
20000049;24;4.2
20000050;26;4.5
