codigoReserva;codAlojamiento;docHuesped;fechaEntrada;duracion;metodoPago;fechaPago;monto;anotacion
RSV001;ALOJ001;20000023;01/04/2025;3;TCredito;31/03/2025;374664;Por favor dejar instrucciones para ingreso.
RSV002;ALOJ001;20000020;01/04/2025;1;TCredito;28/03/2025;188920;¿Tiene aire acondicionado?
RSV003;ALOJ002;20000018;09/07/2025;2;PSE;06/07/2025;323018;¿Tiene aire acondicionado?
RSV004;ALOJ002;20000020;28/05/2025;4;TCredito;26/05/2025;597352;Por favor dejar instrucciones para ingreso.
RSV005;ALOJ003;20000017;20/04/2025;5;TCredito;18/04/2025;955650;Por favor dejar instrucciones para ingreso.
RSV006;ALOJ003;20000048;09/06/2025;4;TCredito;06/06/2025;435924;¿Tiene aire acondicionado?
RSV007;ALOJ004;20000046;18/06/2025;5;TCredito;14/06/2025;1023355;Sin comentarios
RSV008;ALOJ004;20000017;22/04/2025;3;TCredito;20/04/2025;694155;Llegaré tarde
RSV009;ALOJ004;20000001;26/07/2025;3;PSE;21/07/2025;686241;¿Tiene aire acondicionado?
RSV010;ALOJ005;20000043;14/06/2025;3;PSE;10/06/2025;371193;¿Se permite fumar?
RSV011;ALOJ005;20000005;20/07/2025;2;TCredito;19/07/2025;308298;Sin comentarios
RSV012;ALOJ006;20000045;15/07/2025;3;PSE;11/07/2025;312354;¿Tiene aire acondicionado?
RSV013;ALOJ006;20000018;13/04/2025;2;PSE;10/04/2025;428238;Llegaré tarde
RSV014;ALOJ006;20000012;15/05/2025;3;TCredito;11/05/2025;593844;¿Tiene aire acondicionado?
RSV015;ALOJ007;20000035;30/06/2025;4;TCredito;29/06/2025;660676;Llegaré tarde
RSV016;ALOJ007;20000017;29/05/2025;5;TCredito;28/05/2025;930395;Por favor dejar instrucciones para ingreso.
RSV017;ALOJ007;20000038;30/06/2025;2;TCredito;27/06/2025;268162;Llegaré tarde
RSV018;ALOJ008;20000038;14/07/2025;5;PSE;12/07/2025;1026055;¿Tiene aire acondicionado?
RSV019;ALOJ009;20000010;12/07/2025;1;PSE;10/07/2025;117878;¿Tiene aire acondicionado?
