codigo;nombre;docAnfitrion;departamento;municipio;tipo;direccion;precio;amenidades
ALOJ001;Alojamiento001;10000006;Antioquia;Bogotá;casa;Calle 1 #62-85;239911;0,0,0,0,0,1
ALOJ002;Alojamiento002;10000023;Bolívar;Cartagena;casa;Calle 2 #91-39;90580;0,1,0,1,1,1
ALOJ003;Alojamiento003;10000039;Valle;Cali;apartamento;Calle 3 #45-90;234956;0,0,1,1,0,0
ALOJ004;Alojamiento004;10000017;Cundinamarca;Cali;apartamento;Calle 4 #82-64;164154;0,1,1,1,0,1
ALOJ005;Alojamiento005;10000019;Antioquia;Bogotá;apartamento;Calle 5 #17-61;91048;1,1,0,0,0,1
ALOJ006;Alojamiento006;10000043;Valle;Cartagena;apartamento;Calle 6 #71-74;248258;1,0,0,0,1,0
ALOJ007;Alojamiento007;10000025;Valle;Medellín;casa;Calle 7 #100-7;80671;1,1,0,1,0,1
ALOJ008;Alojamiento008;10000015;Antioquia;Cartagena;casa;Calle 8 #45-15;124378;1,1,1,1,0,1
ALOJ009;Alojamiento009;10000008;Cundinamarca;Cali;apartamento;Calle 9 #55-60;188066;1,0,0,1,1,1
ALOJ010;Alojamiento010;10000004;Valle;Bogotá;casa;Calle 10 #7-5;115319;0,1,1,1,0,1
ALOJ011;Alojamiento011;10000040;Antioquia;Cartagena;casa;Calle 11 #90-35;156538;1,1,0,1,1,0
ALOJ012;Alojamiento012;10000004;Cundinamarca;Rionegro;apartamento;Calle 12 #17-53;211929;0,0,0,1,0,1
ALOJ013;Alojamiento013;10000012;Cundinamarca;Cali;casa;Calle 13 #68-44;206568;1,1,0,1,0,1
ALOJ014;Alojamiento014;10000030;Cundinamarca;Envigado;casa;Calle 14 #72-19;210834;0,1,0,1,1,0
ALOJ015;Alojamiento015;10000007;Valle;Rionegro;apartamento;Calle 15 #46-59;147285;0,1,0,0,1,0
ALOJ016;Alojamiento016;10000014;Antioquia;Medellín;apartamento;Calle 16 #96-74;124297;0,1,1,0,0,0
ALOJ017;Alojamiento017;10000017;Bolívar;Bogotá;apartamento;Calle 17 #12-100;195335;1,0,0,0,1,0
ALOJ018;Alojamiento018;10000033;Valle;Medellín;casa;Calle 18 #83-9;123010;0,0,1,1,0,1
ALOJ019;Alojamiento019;10000024;Cundinamarca;Envigado;apartamento;Calle 19 #99-88;190966;1,0,0,0,1,0
ALOJ020;Alojamiento020;10000041;Antioquia;Rionegro;casa;Calle 20 #97-89;233051;1,1,0,1,0,1
ALOJ021;Alojamiento021;10000010;Antioquia;Rionegro;casa;Calle 21 #10-19;234215;1,1,1,1,1,0
