documento;antiguedad;puntuacion
10000001;46;3.1
10000002;32;3.5
10000003;33;3.5
10000004;39;4.3
10000005;25;4.6
10000006;7;4.3
10000007;57;4.5
10000008;59;4.4
10000009;14;4.8
10000010;50;3.7
10000011;19;3.3
10000012;11;3.9
10000013;34;3.2
10000014;34;4.1
10000015;21;4.3
10000016;56;4.9
10000017;20;4.1
10000018;35;3.4
10000019;17;4.2
10000020;51;4.1
10000021;15;4.7
10000022;8;4.5
10000023;19;5.0
10000024;57;4.2
10000025;27;4.2
10000026;10;4.4
10000027;28;4.3
10000028;24;3.8
10000029;55;4.3
10000030;58;4.2
10000031;38;3.8
10000032;42;4.8
10000033;58;4.8
10000034;50;3.4
10000035;55;4.6
10000036;23;3.2
10000037;59;4.9
10000038;35;4.1
10000039;30;3.9
10000040;34;3.1
10000041;12;3.2
10000042;40;3.1
10000043;36;3.3
10000044;57;3.6
10000045;13;3.1
10000046;43;3.1
10000047;29;3.1
10000048;26;4.1
10000049;14;3.3
10000050;15;3.8
