documento;antiguedad;puntuacion
20000001;21;4.5
20000002;40;4.8
20000003;5;4.0
20000004;16;4.4
20000005;24;3.4
20000006;11;3.1
20000007;47;3.9
20000008;35;4.0
20000009;34;3.5
20000010;37;3.3
20000011;45;3.6
20000012;7;3.1
20000013;48;4.9
20000014;7;3.1
20000015;21;3.4
20000016;44;3.3
20000017;25;3.9
20000018;33;4.2
20000019;36;3.1
20000020;12;4.4
20000021;12;4.7
20000022;28;3.1
20000023;3;4.9
20000024;19;3.3
20000025;30;3.7
20000026;24;4.2
20000027;29;3.4
20000028;7;3.6
20000029;20;3.7
20000030;13;3.8
20000031;43;4.2
20000032;31;3.9
20000033;30;4.3
20000034;39;4.8
20000035;37;3.7
20000036;27;5.0
20000037;43;3.8
20000038;41;4.7
20000039;21;4.6
20000040;3;4.9
20000041;45;3.1
20000042;6;4.2
20000043;23;3.1
20000044;44;3.6
20000045;12;4.4
20000046;30;3.1
20000047;17;4.3
20000048;3;4.9
20000049;26;4.8
20000050;13;3.6
